NoJI,Mesin,Tanggal SUP,,
6268 1C,CERUTI.2                                          ,6/2/2021,,CERUTI.2
7572 0A,CERUTI.1                                          ,6/2/2021,,CERUTI.1
7501 0A,CERUTI.3                                          ,6/2/2021,,CERUTI.3
7508 1A,CERUTI.2                                          ,6/2/2021,,CERUTI.2
7589 0A,CERUTI.1                                          ,6/2/2021,,CERUTI.1
4643 2C,CERUTI.2                                          ,6/2/2021,,CERUTI.2
4645 3D,CERUTI.2                                          ,6/2/2021,,CERUTI.2
1203A 7H,CERUTI.2                                          ,6/3/2021,,CERUTI.2
6065 1B,CERUTI.1                                          ,6/3/2021,,CERUTI.1
7374 0A,CERUTI.2                                          ,6/3/2021,,CERUTI.2
7496 0A,CERUTI.5,6/3/2021,,CERUTI.5
7498 0B,CERUTI.3                                          ,6/3/2021,,CERUTI.3
5557 1B,CERUTI.2                                          ,6/3/2021,,CERUTI.2
6905 1B,CERUTI.1                                          ,6/3/2021,,CERUTI.1
7143 0A,CERUTI.2                                          ,6/3/2021,,CERUTI.2
6919 0A,CERUTI.2                                          ,6/4/2021,,CERUTI.2
7499 0C,CERUTI.3                                          ,6/4/2021,,CERUTI.3
4971 1C,CERUTI.2                                          ,6/4/2021,,CERUTI.2
7477 0A,CERUTI.1                                          ,6/4/2021,,CERUTI.1
6956 2E,CERUTI.5,6/4/2021,,CERUTI.5
6768 0D,CERUTI.2                                          ,6/4/2021,,CERUTI.2
4711A 3F,CERUTI.3                                          ,6/4/2021,,CERUTI.3
4709A 3E,CERUTI.3                                          ,6/4/2021,,CERUTI.3
5549 1E,CERUTI.2                                          ,6/5/2021,,CERUTI.2
5405 1E,CERUTI.1                                          ,6/5/2021,,CERUTI.1
7563 0A,CERUTI.2                                          ,6/5/2021,,CERUTI.2
7564 0A,CERUTI.2                                          ,6/5/2021,,CERUTI.2
5406 1F,CERUTI.1                                          ,6/5/2021,,CERUTI.1
6440 0A,CERUTI.2                                          ,6/5/2021,,CERUTI.2
6709 0C,CERUTI.1                                          ,6/5/2021,,CERUTI.1
7205 0B,CERUTI.2                                          ,6/6/2021,,CERUTI.2
7201 1C,CERUTI.5,6/6/2021,,CERUTI.5
4777 0E,CERUTI.2                                          ,6/6/2021,,CERUTI.2
7185 0A,CERUTI.1                                          ,6/7/2021,,CERUTI.1
6344 1C,CERUTI.2                                          ,6/7/2021,,CERUTI.2
7461 0A,CERUTI.1                                          ,6/7/2021,,CERUTI.1
7462 0A,CERUTI.1                                          ,6/7/2021,,CERUTI.1
3792 6N,CERUTI.5,6/7/2021,,CERUTI.5
6903 0A,CERUTI.2                                          ,6/7/2021,,CERUTI.2
6532 0E,CERUTI.2                                          ,6/7/2021,,CERUTI.2
6531 0E,CERUTI.2                                          ,6/8/2021,,CERUTI.2
6596A 0A,CERUTI.1                                          ,6/8/2021,,CERUTI.1
7576 0A,CERUTI.2                                          ,6/8/2021,,CERUTI.2
2033 10L,CERUTI.2                                          ,6/8/2021,,CERUTI.2
3818 6M,CERUTI.2                                          ,6/8/2021,,CERUTI.2
6597A 0A,CERUTI.1                                          ,6/8/2021,,CERUTI.1
5409A 1D,CERUTI.2                                          ,6/8/2021,,CERUTI.2
5980A 2D,CERUTI.2                                          ,6/9/2021,,CERUTI.2
7573 0A,CERUTI.1                                          ,6/9/2021,,CERUTI.1
7586 0A,CERUTI.1                                          ,6/9/2021,,CERUTI.1
4521 3G,CERUTI.2                                          ,6/9/2021,,CERUTI.2
7296 0A,CERUTI.1                                          ,6/9/2021,,CERUTI.1
2580 6Q,CERUTI.1                                          ,6/9/2021,,CERUTI.1
7092 0A,CERUTI.1                                          ,9/6/2021,,CERUTI.1
2206 3H,CERUTI.2                                          ,6/10/2021,,CERUTI.2
7587 0B,CERUTI.3                                          ,6/10/2021,,CERUTI.3
7588 0B,CERUTI.3                                          ,6/10/2021,,CERUTI.3
7602 0B,CERUTI.2                                          ,6/10/2021,,CERUTI.2
7395 0A,CERUTI.1                                          ,6/10/2021,,CERUTI.1
5592A 2B,CERUTI.1                                          ,6/10/2021,,CERUTI.1
5724 0B,CERUTI.2                                          ,6/11/2021,,CERUTI.2
6116 1B,CERUTI.1                                          ,6/11/2021,,CERUTI.1
5494 1D,CERUTI.2                                          ,6/11/2021,,CERUTI.2
7471A 0A,CERUTI.3                                          ,6/11/2021,,CERUTI.3
7582A 0A,CERUTI.5,6/11/2021,,CERUTI.5
7597 0B,CERUTI.2                                          ,6/11/2021,,CERUTI.2
7632 0A,CERUTI.1                                          ,6/11/2021,,CERUTI.1
7596 0A,CERUTI.2                                          ,6/11/2021,,CERUTI.2
7472A 0A,CERUTI.5,6/11/2021,,CERUTI.5
7581A 0A,CERUTI.3                                          ,6/11/2021,,CERUTI.3
7555 0B,CERUTI.1                                          ,6/11/2021,,CERUTI.1
5685 0C,CERUTI.2                                          ,6/11/2021,,CERUTI.2
6258 1D,CERUTI.1                                          ,6/11/2021,,CERUTI.1
6940 0A,CERUTI.2                                          ,6/12/2021,,CERUTI.2
5824 1C,CERUTI.3                                          ,6/12/2021,,CERUTI.3
6769 1B,CERUTI.3                                          ,6/12/2021,,CERUTI.3
6100 1C,CERUTI.2                                          ,6/12/2021,,CERUTI.2
6103 1C,CERUTI.2                                          ,6/13/2021,,CERUTI.2
6101 1C,CERUTI.2                                          ,6/13/2021,,CERUTI.2
3913 3I,CERUTI.2                                          ,6/14/2021,,CERUTI.2
6760 0C,CERUTI.3                                          ,6/14/2021,,CERUTI.3
7074 2E,CERUTI.3                                          ,6/14/2021,,CERUTI.3
5660 5I,CERUTI.1                                          ,6/14/2021,,CERUTI.1
7606 0A,CERUTI.2                                          ,6/14/2021,,CERUTI.2
3817 5L,CERUTI.2                                          ,6/14/2021,,CERUTI.2
6743 0B,CERUTI.2                                          ,6/14/2021,,CERUTI.2
7601 0A,CERUTI.2                                          ,6/15/2021,,CERUTI.2
7031 1F,CERUTI.3                                          ,6/15/2021,,CERUTI.3
7605 0A,CERUTI.1                                          ,6/15/2021,,CERUTI.1
5693 0F,CERUTI.3                                          ,6/15/2021,,CERUTI.3
7608 0A,CERUTI.1                                          ,6/15/2021,,CERUTI.1
6097 1C,CERUTI.2                                          ,6/15/2021,,CERUTI.2
4782A 0I,CERUTI.3                                          ,6/15/2021,,CERUTI.3
4778 0E,CERUTI.1                                          ,6/15/2021,,CERUTI.1
6136 0B,CERUTI.2                                          ,6/15/2021,,CERUTI.2
5689 0B,CERUTI.1                                          ,6/16/2021,,CERUTI.1
7574 0B,CERUTI.2                                          ,6/16/2021,,CERUTI.2
7594A 0A,CERUTI.3                                          ,6/16/2021,,CERUTI.3
7539 0B,CERUTI.1                                          ,6/16/2021,,CERUTI.1
7537 0A,CERUTI.1                                          ,6/16/2021,,CERUTI.1
6745 1C,CERUTI.3                                          ,6/16/2021,,CERUTI.3
1017 14Q,CERUTI.2                                          ,6/16/2021,,CERUTI.2
2803 8S,CERUTI.5,6/16/2021,,CERUTI.5
4053 6E,CERUTI.1                                          ,6/16/2021,,CERUTI.1
6056 0E,CERUTI.2                                          ,6/16/2021,,CERUTI.2
6286 0A,CERUTI.2                                          ,6/17/2021,,CERUTI.2
5565 2D,CERUTI.2                                          ,6/17/2021,,CERUTI.2
7569 0A,CERUTI.2                                          ,6/17/2021,,CERUTI.2
6710 1F,CERUTI.1                                          ,6/17/2021,,CERUTI.1
7621 0A,CERUTI.1                                          ,6/17/2021,,CERUTI.1
5743 2D,CERUTI.2                                          ,6/17/2021,,CERUTI.2
4161A 0C,CERUTI.1                                          ,6/17/2021,,CERUTI.1
7287 0A,CERUTI.3                                          ,6/17/2021,,CERUTI.3
7206 0A,CERUTI.2                                          ,6/17/2021,,CERUTI.2
4202 2H,CERUTI.1                                          ,6/18/2021,,CERUTI.1
5892 1A,CERUTI.2                                          ,6/18/2021,,CERUTI.2
6070 0A,CERUTI.2                                          ,6/18/2021,,CERUTI.2
6601 1E,CERUTI.2                                          ,6/18/2021,,CERUTI.2
7568 1A,CERUTI.1                                          ,6/18/2021,,CERUTI.1
4462 1B,CERUTI.3                                          ,6/18/2021,,CERUTI.3
7615 0A,CERUTI.2                                          ,6/18/2021,,CERUTI.2
7567 1A,CERUTI.1                                          ,6/18/2021,,CERUTI.1
6363 2D,CERUTI.2                                          ,6/18/2021,,CERUTI.2
5797 4F,CERUTI.3                                          ,6/18/2021,,CERUTI.3
6588 0D,CERUTI.5,6/18/2021,,CERUTI.5
5445 0D,CERUTI.2                                          ,6/19/2021,,CERUTI.2
5135 1B,CERUTI.1                                          ,6/19/2021,,CERUTI.1
7620 0A,CERUTI.1                                          ,6/19/2021,,CERUTI.1
5142 20T,CERUTI.3                                          ,6/19/2021,,CERUTI.3
4226A 2D,CERUTI.5,6/19/2021,,CERUTI.5
4905 1B,CERUTI.1                                          ,6/19/2021,,CERUTI.1
2938 5N,CERUTI.3                                          ,6/19/2021,,CERUTI.3
6631 1B,CERUTI.2                                          ,6/20/2021,,CERUTI.2
7414 0A,CERUTI.1                                          ,6/20/2021,,CERUTI.1
6889 0B,CERUTI.2                                          ,6/20/2021,,CERUTI.2
7329 1A,CERUTI.2                                          ,6/20/2021,,CERUTI.2
7628A 0A,CERUTI.3                                          ,6/21/2021,,CERUTI.3
6675 2B,CERUTI.2                                          ,6/21/2021,,CERUTI.2
7566 1A,CERUTI.2                                          ,9/9/2021,,CERUTI.2
6677 2B,CERUTI.2                                          ,6/21/2021,,CERUTI.2
7565 1A,CERUTI.1                                          ,6/21/2021,,CERUTI.1
0914 8K,CERUTI.2                                          ,6/21/2021,,CERUTI.2
