Artikel,Customer,JmlhWrna,JnsCtk,JnsBhn,Tebal (mic),Lebar (mm)
LMNT DETOL ID BW LSTFRS 250G JM(3094268)          ,,8,REVERSE,NYLON,15.00,860.00
POLYCELLO OVALTINE LOKAL 30 GR (NEW TEKS)         ,,7,REVERSE,PET,12.00,1150.00
68461474 ROLL WRP PP MILKY DUO 36ML REV DES       ,,6,SURFACE,OPP PEARLIZE,35.00,1020.00
ROLL INNER GINGER CHEWS NEW SPEC                  ,,6,REVERSE,PET,12.00,1170.00
68154712 ROLL ROYCO KALDU JAMUR 170G              ,,8,SURFACE,PET-G,12.00,1170.00
5 DAYS CROISSANT CREAMY CHEESE 60GR NEW BARCODE   ,,8,SURFACE,PET-G,12.00,840.00
KEMASAN SACHET ORANGE 200 G NEW DESIGN            ,,7,REVERSE,PET,12.00,990.00
ROLL TP ROTI WHITE 100 (6027868)                  ,,8,REVERSE,OPP - G,20.00,960.00
6031543 ROLL TP PISANG VANILA 70GR                ,,8,SURFACE,PET-G,12.00,1120.00
BAG K330 DAHLIA NEW KEMENKES                      ,,8,REVERSE,OPP,20.00,900.00
6031554 ROLL TP PISANG VANILA 210GR               ,,8,SURFACE,PET-G,12.00,1020.00
6028798 ROLL LADA BUBUK 2 GR NON PROMO            ,,7,REVERSE,PET-G,12.00,1070.00
LMNT DETTOL ID BW COOL 250G JM(3181851)           ,,8,REVERSE,NY-01,15.00,860.00
PLS GJH TM 24GR (R1)                              ,,8,REVERSE,PET-G,12.00,1240.00
NANX-KJ-K-050-ML-SK-001(NANO ORANGE MY SAK)       ,,6,REVERSE,OPP - G,20.00,880.00
NANX-PL-K-050-ML-SK-001(NANO PLUM MY SAK)         ,,6,REVERSE,OPP,20.00,880.00
CPP 4199 TRANSPARENT                              ,,2,SURFACE,CPP-G,30.00,770.00
KUSUKA 20GR RASA CHEESE BURGER                    ,,7,REVERSE,PET-G,12.00,930.00
PF TBS ORIGINAL 225G (ML6000M-FORTIFIED)-421001309,,8,REVERSE,OPP-G,20.00,1270.00
C06665 AL FOIL SAMS 8GR 12UP NONSPLIT             ,,7,REVERSE,PET-G,9.00,960.00
C06660 AL FOIL EP 8GR 12UP NONSPLIT               ,,7,REVERSE,PET-G,9.00,960.00
NANX-BL-K-005-ML-SC-001(NANO STRFRT MY SCH)       ,,6,REVERSE,OPP,20.00,1020.00
NANX-PL-K-005-ML-SC-001(NANO PLUM MY SCH)         ,,6,REVERSE,OPP,20.00,1020.00
C06694 POUCH EP 75 GR                             ,,7,REVERSE,PET,12.00,1090.00
NANX-KJ-K-005-ML-SC-001(NANO ORANGE MY SCH)       ,,6,REVERSE,OPP,25.00,1020.00
ROLL SACHET HOKBEN CHILI 6LINE                    ,,5,REVERSE,PET-G,12.00,990.00
2000234 NESTLE MILO CHOCOMALT 960G                ,,7,REVERSE,PET-G,12.00,870.00
MARIMAS JERUK 7GR MLT MAY'23                      ,,8,REVERSE,PET-G,12.00,935.00
MA 250GR KARAWANG - 122002540                     ,,7,REVERSE,PET-G,12.00,1170.00
